127.0.0.1 - - [26/Apr/2018:00:00:13 +0200] "GET /twitter/user/getinfo HTTP/1.1" 404 1002
127.0.0.1 - - [26/Apr/2018:00:00:20 +0200] "GET /twitter/user/getinfo? HTTP/1.1" 404 1002
127.0.0.1 - - [26/Apr/2018:00:00:27 +0200] "GET /twitter/user/login? HTTP/1.1" 200 55
127.0.0.1 - - [26/Apr/2018:00:02:06 +0200] "GET /twitter/user/login? HTTP/1.1" 200 55
127.0.0.1 - - [26/Apr/2018:00:02:11 +0200] "GET /twitter/user/info? HTTP/1.1" 404 996
127.0.0.1 - - [26/Apr/2018:00:02:25 +0200] "GET /twitter/user/info? HTTP/1.1" 404 996
127.0.0.1 - - [26/Apr/2018:00:02:33 +0200] "GET /twitter/user/info? HTTP/1.1" 404 996
127.0.0.1 - - [26/Apr/2018:00:03:00 +0200] "GET /twitter/user/info? HTTP/1.1" 404 996
127.0.0.1 - - [26/Apr/2018:00:03:03 +0200] "GET /twitter/user/info? HTTP/1.1" 404 996
127.0.0.1 - - [26/Apr/2018:00:03:06 +0200] "GET /twitter/user/info? HTTP/1.1" 404 996
127.0.0.1 - - [26/Apr/2018:00:03:24 +0200] "GET /twitter/user/info HTTP/1.1" 404 996
127.0.0.1 - - [26/Apr/2018:00:03:27 +0200] "GET /twitter/user/infoklk HTTP/1.1" 404 1002
127.0.0.1 - - [26/Apr/2018:00:03:38 +0200] "GET /twitter/user/infoklk HTTP/1.1" 404 1002
127.0.0.1 - - [26/Apr/2018:00:05:11 +0200] "GET / HTTP/1.1" 404 962
127.0.0.1 - - [26/Apr/2018:00:05:12 +0200] "GET /twitter/user/login? HTTP/1.1" 200 55
127.0.0.1 - - [26/Apr/2018:00:05:16 +0200] "GET /twitter/user/info? HTTP/1.1" 200 55
127.0.0.1 - - [26/Apr/2018:00:05:47 +0200] "GET /twitter/css/main.css HTTP/1.1" 200 11941
127.0.0.1 - - [26/Apr/2018:00:05:47 +0200] "GET /twitter/js/tools.js HTTP/1.1" 200 11340
127.0.0.1 - - [26/Apr/2018:00:05:47 +0200] "GET /twitter/js/posts.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:05:47 +0200] "GET /twitter/user/getinfo?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 404 1002
127.0.0.1 - - [26/Apr/2018:00:05:47 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 183
127.0.0.1 - - [26/Apr/2018:00:06:05 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 105
127.0.0.1 - - [26/Apr/2018:00:07:15 +0200] "GET /twitter/js/tools.js HTTP/1.1" 200 11337
127.0.0.1 - - [26/Apr/2018:00:07:15 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 183
127.0.0.1 - - [26/Apr/2018:00:07:15 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 105
